superhero,publisher,alter_ego,first_appearance,characters
Batman,DC Comics,Bruce Wayne,Detective Comics #27,Bruce Wayne
Superman,DC Comics,Kal-El,Action Comics #1,Kal-El
Flash,DC Comics,Jay Garrick,Flash Comics #1,"Jay Garrick, Barry Allen, Wally West, Bart Allen"
Green Lantern,DC Comics,Alan Scott,All-American Comics #16,"Alan Scott, Hal Jordan, Guy Gardner, John Stewart, Kyle Raynor, Jade, Sinestro, Simon Baz"
Green Arrow,DC Comics,Oliver Queen,More Fun Comics #73,Oliver Queen
Wonder Woman,DC Comics,Princess Diana,All Star Comics #8,Princess Diana
Martian Manhunter,DC Comics,J'onn J'onzz,Detective Comics #225,Martian Manhunter
Robin/Nightwing,DC Comics,Dick Grayson,Detective Comics #38,Dick Grayson
Blue Beetle,DC Comics,Dan Garret,Mystery Men Comics #1,"Dan Garret, Ted Kord, Jaime Reyes"
Black Canary,DC Comics,Dinah Drake,Flash Comics #86,"Dinah Drake, Dinah Lance"
Spider Man,Marvel Comics,Peter Parker,Amazing Fantasy #15,Peter Parker
Captain America,Marvel Comics,Steve Rogers,Captain America Comics #1,Steve Rogers
Iron Man,Marvel Comics,Tony Stark,Tales of Suspense #39,Tony Stark
Thor,Marvel Comics,Thor Odinson,Journey into Myster #83,Thor Odinson
Hulk,Marvel Comics,Bruce Banner,The Incredible Hulk #1,Bruce Banner
Wolverine,Marvel Comics,James Howlett,The Incredible Hulk #180,James Howlett
Daredevil,Marvel Comics,Matthew Michael Murdock,Daredevil #1,Matthew Michael Murdock
Hawkeye,Marvel Comics,Clinton Francis Barton,Tales of Suspense #57,Clinton Francis Barton
Cyclops,Marvel Comics,Scott Summers,X-Men #1,Scott Summers
Silver Surfer,Marvel Comics,Norrin Radd,The Fantastic Four #48,Norrin Radd
